Category,Football (Fans),Basketball (Fans),Baseball (Fans),Soccer (Fans),Hockey (Fans)
Professional Teams,500000,400000,300000,200000,100000
Collegiate Teams,250000,200000,150000,100000,50000
Individual Sports,100000,80000,60000,40000,20000
E-sports,75000,60000,45000,30000,15000
Music,300000,240000,180000,120000,60000
Movies,200000,160000,120000,80000,40000
Television,150000,120000,90000,60000,30000
Live Events,100000,80000,60000,40000,20000
Gaming,50000,40000,30000,20000,10000
Others,25000,20000,15000,10000,5000
